date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,submitted_via,date_sent_to_company,timely_response,consumer_disputed,complaint_id
2013-07-29,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo & Company,NJ,8618,Older American,Phone,2013-07-30,Yes,No,469414
2013-07-29,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Citibank,GA,30135,,Web,2013-07-30,Yes,No,469423
2013-07-29,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,MO,64725,,Fax,2013-07-29,Yes,No,479282
2013-07-29,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,U.S. Bancorp,MN,55414,,Web,2013-08-01,Yes,No,469428
2013-07-29,Credit card,,Billing disputes,,,,Capital One,FL,32226,Servicemember,Web,2013-07-29,Yes,No,475777
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,CA,92277,,Web,2013-08-05,Yes,No,469446
2013-07-29,Bank account or service,Checking account,"Account opening, closing, or management",,,,First Tennessee Bank,TN,37806,Servicemember,Phone,2013-07-30,Yes,Yes,469447
2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,Discover,MA,2043,,Web,2013-07-30,Yes,No,467427
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,91741,,Phone,2013-07-30,Yes,No,464039
2013-07-29,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Bank of America,CA,91320,,Web,2013-07-31,Yes,No,469461
2013-07-29,Credit card,,Credit line increase/decrease,,,,Citibank,WI,53066,Older American,Phone,2013-07-30,Yes,Yes,469473
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,CA,95765,,Web,2013-07-30,Yes,Yes,469479
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,CA,95363,,Phone,2013-07-31,Yes,No,469499
2013-07-29,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,"Borenstein & Associates, LLC",WY,82605,,Web,2013-09-17,Yes,No,469501
